N_1	DP_1	N_REF_1	MEAN_REF_BQ_1	MEDIAN_REF_BQ_1	MEAN_NONREF_BQ_1	MEDIAN_NONREF_BQ_1	N_2	DP_2	N_REF_2	MEAN_REF_BQ_2	MEDIAN_REF_BQ_2	MEAN_NONREF_BQ_2	MEDIAN_NONREF_BQ_2
1	219	118	23.705882352941178	33.0	26.44	33.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	82	59	25.883333333333333	37.0	34.45454545454545	35.0	0	None	None	None	None	None	None
1	7	3	39.666666666666664	40.0	32.75	33.0	2	4	0	None	None	33.0	33.0
1	0	None	None	None	None	None	3	12	4	23.6	20.0	32.714285714285715	39.0
1	0	None	None	None	None	None	3	8	2	35.0	35.0	20.0	20.0
1	132	84	26.214285714285715	37.0	26.729166666666668	38.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	1	1	0	None	None	31.0	31.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	4	0	None	None	20.0	20.0	1	16	8	26.625	25.5	24.0	20.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	2	9	4	27.75	35.5	23.4	37.0
1	0	None	None	None	None	None	1	6	2	24.0	20.0	19.0	25.0
1	0	None	None	None	None	None	3	3	0	None	None	39.0	39.0
1	0	None	None	None	None	None	1	8	4	30.6	38.0	24.0	32.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	2	0	None	None	38.5	38.5	2	8	5	38.6	38.0	26.0	20.0
1	0	None	None	None	None	None	1	4	0	None	None	20.0	20.0
1	24	17	23.11764705882353	38.0	29.0	37.0	0	None	None	None	None	None	None
1	27	18	21.72222222222222	35.5	37.111111111111114	39.0	0	None	None	None	None	None	None
1	16	3	38.666666666666664	39.0	38.15384615384615	38.0	1	25	2	37.0	37.0	37.47826086956522	39.0
1	24	10	27.727272727272727	20.0	35.0	35.0	0	None	None	None	None	None	None
1	23	20	31.65	38.0	34.333333333333336	34.0	3	25	19	34.4	37.0	26.4	26.0
1	86	26	31.115384615384617	38.0	25.65	20.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	4	1	35.0	35.0	32.666666666666664	33.0	3	9	4	23.2	20.0	20.0	20.0
1	0	None	None	None	None	None	2	6	3	33.666666666666664	33.0	37.0	37.0
1	0	None	None	None	None	None	2	8	1	38.0	38.0	22.714285714285715	20.0
1	114	40	20.78048780487805	20.0	31.84931506849315	35.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	4	0	None	None	28.25	27.5	1	12	2	25.666666666666668	20.0	26.11111111111111	20.0
1	4	0	None	None	26.0	27.5	1	13	2	25.666666666666668	20.0	23.6	26.5
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	3	15	6	27.857142857142858	20.0	28.75	28.5
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	1	5	0	25.0	25.0	34.25	34.0
1	2	0	None	None	20.0	20.0	1	3	1	37.0	37.0	20.0	20.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	3	0	None	None	39.0	39.0	2	18	13	27.285714285714285	36.0	20.0	20.0
1	2	0	None	None	20.0	20.0	0	None	None	None	None	None	None
1	9	8	32.0	36.0	None	None	1	25	20	22.857142857142858	20.0	37.25	37.0
1	0	None	None	None	None	None	2	26	21	23.227272727272727	20.0	26.0	32.0
1	0	None	None	None	None	None	2	21	16	22.88235294117647	20.0	28.5	37.0
1	0	None	None	None	None	None	3	14	5	23.4	20.0	21.88888888888889	20.0
1	4	1	20.0	20.0	20.0	20.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	1	5	1	38.0	38.0	28.0	36.0
1	0	None	None	None	None	None	3	2	0	None	None	20.0	20.0
1	0	None	None	None	None	None	3	32	18	28.0	36.0	23.23076923076923	33.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	2	3	0	32.0	32.0	38.0	38.0
1	0	None	None	None	None	None	3	6	2	39.5	39.5	27.75	35.5
1	0	None	None	None	None	None	3	7	1	38.0	38.0	25.333333333333332	36.0
1	0	None	None	None	None	None	3	8	1	40.0	40.0	27.428571428571427	39.0
1	0	None	None	None	None	None	3	8	1	38.0	38.0	28.0	39.0
1	0	None	None	None	None	None	3	3	0	None	None	26.333333333333332	20.0
1	0	None	None	None	None	None	2	12	7	25.0	20.0	28.75	28.5
1	140	86	30.908045977011493	38.0	32.84905660377358	34.0	0	None	None	None	None	None	None
1	57	28	25.586206896551722	20.0	36.964285714285715	40.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	2	10	4	28.5	37.0	31.0	36.5
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	1	0	None	None	34.0	34.0	3	4	0	None	None	27.5	27.5
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	81	16	20.6875	27.5	24.384615384615383	35.0	1	98	6	21.666666666666668	26.5	24.652173913043477	36.0
1	93	18	21.11111111111111	30.0	23.986666666666668	33.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	2	13	6	27.142857142857142	20.0	32.0	38.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	2	7	2	32.0	32.0	24.0	20.0
1	0	None	None	None	None	None	3	11	6	27.857142857142858	20.0	22.75	20.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	1	67	57	23.70689655172414	20.0	37.0	37.0
